Education,JoiningYear,PaymentTier,Age,Gender,LeaveOrNot
1,2013,1,28,0,1
1,2014,3,38,0,0
1,2016,3,34,0,1
1,2014,3,34,0,0
1,2015,2,30,0,1
1,2016,2,22,0,1
1,2013,3,22,0,0
1,2013,2,31,0,1
2,2017,2,30,0,0
1,2017,2,37,0,1
1,2014,1,30,0,0
1,2018,2,34,0,1
1,2017,2,29,0,1
1,2014,3,23,0,0
1,2013,3,30,0,0
1,2015,2,26,0,1
1,2016,3,34,0,0
1,2014,3,31,0,0
1,2017,3,31,0,0
2,2014,3,39,0,0
1,2014,1,22,0,1
1,2015,3,24,0,0
2,2017,3,40,0,1
1,2018,3,23,0,1
1,2014,3,25,0,0
2,2017,2,25,0,1
1,2014,1,23,0,0
1,2017,3,23,0,0
1,2013,3,31,0,1
1,2017,3,25,0,0
1,2015,3,27,0,1
1,2017,2,27,0,1
2,2015,2,32,0,0
1,2017,2,34,0,0
1,2016,3,31,0,0
1,2014,3,29,0,0
1,2015,3,24,0,1
2,2017,3,26,0,1
1,2015,2,28,0,1
2,2015,1,28,0,1
1,2015,2,25,0,1
1,2015,3,27,0,0
1,2017,2,27,0,1
1,2014,1,26,0,1
1,2017,3,26,0,0
1,2012,1,28,0,0
1,2015,3,25,0,0
1,2014,3,28,0,0
1,2017,3,26,0,0
2,2017,1,25,0,1
1,2017,2,24,0,1
1,2017,3,28,0,0
1,2013,3,27,0,0
2,2015,2,28,0,0
1,2018,3,27,0,1
1,2012,2,24,0,1
1,2016,2,24,0,1
2,2012,3,26,0,0
1,2013,3,28,0,0
1,2014,3,28,0,0
1,2013,3,26,0,0
2,2017,3,24,0,1
1,2014,3,28,0,0
2,2015,2,28,0,0
1,2014,3,27,0,0
1,2014,3,24,0,0
2,2017,2,28,0,1
2,2016,3,25,0,1
3,2015,3,28,0,0
1,2015,3,27,0,0
1,2013,3,25,0,0
1,2013,3,27,0,0
1,2014,2,25,0,1
1,2014,2,26,0,1
1,2015,2,26,0,1
2,2017,2,27,0,0
2,2013,2,28,0,1
1,2018,3,27,0,1
1,2014,3,25,0,0
1,2013,2,25,0,1
1,2018,3,28,0,1
1,2015,1,24,0,1
1,2015,2,27,0,1
1,2014,2,27,0,1
3,2015,2,25,0,0
2,2015,2,25,0,0
1,2014,3,24,0,0
2,2017,2,26,0,1
2,2017,2,26,0,0
1,2013,2,28,0,1
1,2014,3,25,0,1
1,2014,2,24,0,1
2,2015,3,26,0,1
1,2016,1,28,0,0
2,2018,3,24,0,1
1,2018,2,24,0,1
2,2017,2,28,0,0
1,2013,1,27,0,0
1,2017,2,27,0,0
1,2016,2,27,0,1
1,2015,3,26,0,0
1,2018,3,26,0,1
2,2017,2,26,0,1
2,2017,2,28,0,0
1,2018,3,28,0,1
1,2013,3,27,0,1
1,2017,3,28,0,0
1,2015,1,25,0,1
3,2014,3,24,0,0
2,2017,2,27,0,0
2,2015,3,27,0,1
2,2017,2,25,0,0
1,2012,3,27,0,0
1,2015,3,26,0,1
1,2016,3,24,0,1
1,2014,3,28,0,0
1,2014,3,27,0,0
1,2015,3,26,0,1
3,2015,3,25,0,0
2,2017,2,24,0,0
2,2015,3,28,0,0
1,2017,3,24,0,0
2,2015,3,28,0,0
1,2014,3,25,0,1
1,2018,3,26,0,1
1,2017,3,28,0,0
2,2012,3,24,0,1
1,2015,3,26,0,0
2,2017,2,25,0,1
1,2013,2,28,0,1
1,2015,3,24,0,0
1,2015,2,27,0,1
1,2018,3,24,0,1
1,2013,3,27,0,0
1,2013,3,24,0,0
1,2017,3,26,0,0
1,2015,3,24,0,0
1,2012,3,24,0,1
1,2012,2,27,0,1
1,2016,1,26,0,1
1,2015,3,26,0,1
1,2017,3,25,0,0
2,2015,2,25,0,1
1,2017,2,26,0,0
1,2017,3,27,0,0
1,2015,3,24,0,0
2,2017,1,26,0,1
1,2017,1,28,0,0
2,2015,2,25,0,1
1,2014,3,25,0,0
1,2014,1,26,0,1
1,2016,3,28,0,0
1,2018,3,26,0,1
1,2015,2,24,0,1
1,2015,2,25,0,1
1,2015,3,26,0,1
1,2014,2,24,0,1
1,2017,2,28,0,0
1,2015,1,26,0,1
1,2012,3,24,0,0
1,2012,3,26,0,0
1,2016,3,26,0,0
1,2015,2,25,0,1
1,2015,2,26,0,1
2,2015,2,26,0,1
1,2012,3,27,0,0
1,2013,3,27,0,0
1,2013,3,26,0,0
2,2017,2,24,0,1
2,2014,3,28,0,0
1,2015,3,26,0,1
1,2014,3,25,0,0
2,2015,3,24,0,0
2,2013,3,28,0,1
3,2013,2,27,0,0
1,2013,3,24,0,1
1,2015,2,28,0,1
1,2015,2,26,0,1
1,2017,2,28,0,0
2,2012,3,27,0,1
2,2017,3,25,0,1
1,2016,2,24,0,1
1,2012,3,26,0,0
1,2015,2,25,0,1
1,2015,3,26,0,0
3,2015,2,28,0,0
1,2017,3,24,0,0
1,2017,3,25,0,0
1,2016,3,28,0,0
1,2017,2,25,0,1
1,2014,3,28,0,0
1,2017,2,27,0,0
1,2015,3,28,0,0
1,2016,3,24,0,0
1,2012,3,25,0,0
1,2016,3,27,0,0
2,2015,2,24,0,0
2,2014,3,24,0,1
2,2017,2,26,0,0
1,2018,3,28,0,1
2,2017,2,25,0,1
2,2013,3,25,0,0
2,2015,3,28,0,0
1,2015,2,27,0,1
2,2014,2,27,0,0
2,2015,1,27,0,0
1,2012,2,26,0,1
1,2014,3,28,0,1
1,2015,2,28,0,1
1,2017,3,24,0,0
1,2016,3,27,0,1
1,2017,3,28,0,0
1,2014,3,25,0,0
1,2017,2,25,0,1
1,2017,2,26,0,1
2,2015,3,28,0,0
1,2016,3,25,0,0
2,2017,2,26,0,0
2,2012,2,26,0,0
1,2018,3,28,0,1
2,2015,2,28,0,0
2,2015,3,24,0,1
1,2015,2,24,0,1
1,2017,3,27,0,1
1,2014,1,26,0,1
2,2017,2,26,0,0
1,2014,3,28,0,0
1,2014,3,25,0,1
1,2015,2,28,0,1
2,2017,2,24,0,1
1,2015,1,25,0,0
1,2015,2,24,0,1
1,2016,3,27,0,0
2,2016,3,25,0,1
1,2018,3,24,0,1
1,2015,3,25,0,1
1,2014,3,28,0,0
1,2016,3,26,0,0
2,2017,2,28,0,0
1,2014,2,25,0,1
1,2016,3,28,0,0
1,2014,3,28,0,0
